event,event_time,symbol,kline_open_time,kline_close_time,symbol,interval,first_trade_id,last_trade_id,open_price,close_price,highest_price,lowest_price,base_asset_volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
kline,1685575019978,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340997,1868.81000000,1869.65000000,1869.72000000,1868.80000000,123.06920000,203,False,230071.60082500,64.66620000,120883.23305400,0
kline,1685575020003,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158341012,1868.81000000,1869.55000000,1869.72000000,1868.80000000,123.39900000,218,True,230688.18534800,64.75550000,121050.18637900,0
kline,1685575022277,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341031,1869.55000000,1869.45000000,1869.56000000,1869.45000000,1.13600000,19,False,2123.78120500,0.82910000,1550.02643200,0
kline,1685575024459,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341044,1869.55000000,1869.26000000,1869.56000000,1869.26000000,6.45110000,32,False,12059.65432400,0.82910000,1550.02643200,0
kline,1685575027252,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341051,1869.55000000,1869.26000000,1869.56000000,1869.26000000,6.90710000,39,False,12912.03693700,0.83440000,1559.93356300,0
kline,1685575029459,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341054,1869.55000000,1869.26000000,1869.56000000,1869.26000000,7.02690000,42,False,13135.97428500,0.83440000,1559.93356300,0
kline,1685575035047,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341055,1869.55000000,1869.26000000,1869.56000000,1869.26000000,7.06960000,43,False,13215.79168700,0.83440000,1559.93356300,0
kline,1685575037460,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341058,1869.55000000,1869.26000000,1869.56000000,1869.26000000,7.19560000,46,False,13451.31951600,0.94130000,1759.75852600,0
kline,1685575040346,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341064,1869.55000000,1869.27000000,1869.56000000,1869.26000000,8.45440000,52,False,15804.35639500,2.18040000,4075.97098300,0
kline,1685575042649,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341074,1869.55000000,1869.20000000,1869.56000000,1869.20000000,16.24110000,62,False,30359.72145400,2.19160000,4096.90624700,0
kline,1685575045460,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341085,1869.55000000,1869.02000000,1869.56000000,1869.02000000,22.93970000,73,False,42879.96542500,2.19960000,4111.85992700,0
kline,1685575051009,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341086,1869.55000000,1869.02000000,1869.56000000,1869.02000000,22.95020000,74,False,42899.59013500,2.19960000,4111.85992700,0
kline,1685575053323,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341096,1869.55000000,1868.85000000,1869.56000000,1868.85000000,26.56460000,84,False,49654.74432000,2.19960000,4111.85992700,0
kline,1685575055461,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341101,1869.55000000,1868.85000000,1869.56000000,1868.85000000,26.75660000,89,False,50013.56352000,2.19960000,4111.85992700,0
kline,1685575057965,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341102,1869.55000000,1868.85000000,1869.56000000,1868.85000000,26.76200000,90,False,50023.65531000,2.19960000,4111.85992700,0
kline,1685575061461,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341104,1869.55000000,1868.85000000,1869.56000000,1868.85000000,27.00810000,92,False,50483.58167400,2.43750000,4556.46172100,0
kline,1685575066534,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341105,1869.55000000,1868.85000000,1869.56000000,1868.85000000,27.02720000,93,False,50519.27670900,2.43750000,4556.46172100,0
kline,1685575069198,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341109,1869.55000000,1868.86000000,1869.56000000,1868.85000000,28.24430000,97,False,52793.85425300,2.45840000,4595.52089500,0
kline,1685575072462,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341112,1869.55000000,1868.85000000,1869.56000000,1868.85000000,28.57860000,100,False,53418.61401800,2.77940000,5195.42495500,0
kline,1685575075339,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341116,1869.55000000,1868.85000000,1869.56000000,1868.85000000,28.93340000,104,False,54081.68260200,2.83980000,5308.30409900,0
kline,1685575079162,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341117,1869.55000000,1868.85000000,1869.56000000,1868.85000000,28.97600000,105,False,54161.29561200,2.83980000,5308.30409900,0
kline,1685575080004,ETHUSDT,1685575020000,1685575079999,ETHUSDT,1m,1158341013,1158341137,1869.55000000,1868.86000000,1869.56000000,1868.85000000,29.80020000,125,True,55701.60589200,3.25080000,6076.40555900,0
kline,1685575082040,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341158,1868.85000000,1868.85000000,1868.86000000,1868.85000000,0.38750000,21,False,724.18086500,0.14900000,278.46014000,0
kline,1685575084117,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341162,1868.85000000,1868.85000000,1868.86000000,1868.85000000,0.46430000,25,False,867.70875300,0.16980000,317.33242800,0
kline,1685575087463,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341165,1868.85000000,1868.85000000,1868.86000000,1868.85000000,0.87180000,28,False,1629.26912800,0.56980000,1064.87642800,0
kline,1685575090022,ETHUSDT,1685575080000,1685575139999,ETHUSDT,1m,1158341138,1158341168,1868.85000000,1868.86000000,1868.86000000,1868.85000000,3.53040000,31,False,6597.82024300,3.22030000,6018.28985800,0
